S,A,R,C
1,2,-1,0
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,-1,1
1,1,1,1
1,1,-1,1
1,2,-1,0
1,2,-1,0
1,1,1,1
2,1,-1,0
2,1,-1,0
2,1,-1,0
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,-1,1
2,2,1,1
2,2,1,1
2,2,-1,1
1,1,1,1
1,2,-1,0
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,-1,1
1,2,-1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,-1,1
1,1,-1,1
2,1,1,0
2,1,-1,0
2,1,-1,0
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,1,-1,0
2,2,-1,1
2,1,-1,0
2,2,-1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
1,2,-1,0
1,2,1,0
1,2,-1,0
1,2,-1,0
1,2,-1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,-1,1
1,1,1,1
1,1,1,1
1,1,1,1
2,1,-1,0
2,1,1,0
2,1,-1,0
2,1,-1,0
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,-1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,-1,1
2,2,1,1
2,2,1,1
2,2,-1,1
2,2,1,1
2,2,1,1
2,2,-1,1
2,2,1,1
2,2,-1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,1,1
2,2,-1,1
2,NaN,NaN,NaN
2,2,1,1
2,2,1,1
2,2,1,1
